order,partitions,mf_type,partitioning,true_backoff,transform,clamp_nonneg,RMSE,MAE,MAPE,mape_coverage,n_eval,n_rules_orderK,hit_rate_exact,hit_rate_any,fallback_rate,backoff_rate
3,30,triangular,equal,True,none,False,0.03407609522792668,0.025283160445775322,4.074953228206175,1.0,200,232,0.88,0.97,0.03,0.09
4,30,triangular,equal,True,none,False,0.034589886201742484,0.02532209067909541,4.023289450679742,1.0,200,375,0.75,0.97,0.03,0.22
2,30,triangular,equal,True,none,False,0.03725171211801537,0.029602270401228776,4.736810970623343,1.0,200,113,0.95,0.97,0.03,0.02
4,20,triangular,equal,True,none,False,0.04070982735404789,0.03184049641692335,5.222644987676761,1.0,200,221,0.86,0.965,0.035,0.105
3,20,triangular,equal,True,none,False,0.042213489490983885,0.03397030862459976,5.5443274218109835,1.0,200,130,0.93,0.965,0.035,0.035
2,20,triangular,equal,True,none,False,0.042807237578243666,0.034146748889082604,5.667624585612799,1.0,200,60,0.95,0.965,0.035,0.015
4,15,triangular,equal,True,none,False,0.04690031345215867,0.03713965761878752,6.25834891735233,1.0,200,147,0.91,0.955,0.045,0.045
1,30,triangular,equal,True,none,False,0.05011016197497123,0.04030224065717952,6.766051960986415,1.0,200,28,0.97,0.97,0.03,0.0
3,15,triangular,equal,True,none,False,0.050800841457661415,0.040842086669585914,6.7578018084355564,1.0,200,81,0.945,0.955,0.045,0.01
1,20,triangular,equal,True,none,False,0.053124599275188755,0.04192318987246686,7.350686436266704,1.0,200,18,0.965,0.965,0.035,0.0
2,15,triangular,equal,True,none,False,0.05349658227216675,0.04232720849883537,6.954119521714425,1.0,200,39,0.95,0.955,0.045,0.005
1,15,triangular,equal,True,none,False,0.05612438561581526,0.04512075695809797,7.563191911258478,1.0,200,13,0.955,0.955,0.045,0.0
1,10,triangular,equal,True,none,False,0.06378567093753698,0.04993149482005289,9.048065720545127,1.0,200,10,1.0,1.0,0.0,0.0
2,10,triangular,equal,True,none,False,0.06444423541790774,0.0511840617550857,9.006820151312745,1.0,200,28,1.0,1.0,0.0,0.0
4,10,triangular,equal,True,none,False,0.06597456570573747,0.05161009367763096,8.714310165479969,1.0,200,83,0.935,1.0,0.0,0.065
3,10,triangular,equal,True,none,False,0.06832411029092646,0.05370923929636175,8.974038274695676,1.0,200,50,0.99,1.0,0.0,0.01
1,7,triangular,equal,True,none,False,0.08838865987685325,0.07430613025252523,14.37028918067534,1.0,200,7,1.0,1.0,0.0,0.0
4,7,triangular,equal,True,none,False,0.0887350303886992,0.07406242688371979,14.548563553834907,1.0,200,50,0.985,1.0,0.0,0.015
2,7,triangular,equal,True,none,False,0.08902027512268582,0.07507078098203808,14.564495159439698,1.0,200,19,1.0,1.0,0.0,0.0
3,7,triangular,equal,True,none,False,0.08921596086432068,0.07451327570381464,14.63847665491792,1.0,200,32,1.0,1.0,0.0,0.0
